62	African Rock Python	rock python, rock snake, Python sebae,	Animal	Reptile		
63	Indian Cobra	Indian cobra, Naja naja,	Animal	Reptile		
64	Green Mamba	green mamba,	Animal	Reptile		
65	Sea Snake	sea snake,	Animal	Reptile		
66	Saharan Horned Viper	horned viper, cerastes, sand viper, horned asp, Cerastes cornutus,	Animal	Reptile		
67	Eastern Diamondback Rattlesnake	diamondback, diamondback rattlesnake, Crotalus adamanteus,	Animal	Reptile		
68	Sidewinder	sidewinder, horned rattlesnake, Crotalus cerastes,	Animal	Reptile		
69	Trilobite	trilobite,	Animal	Arthopod		
70	Harvestman	harvestman, daddy longlegs, Phalangium opilio,	Animal	Arthopod		
71	Scorpion	scorpion,	Animal	Arthopod		
72	Yellow Garden Spider	black and gold garden spider, Argiope aurantia,	Animal	Arthopod		
73	Barn Spider	barn spider, Araneus cavaticus,	Animal	Arthopod		
74	European Garden Spider	garden spider, Aranea diademata,	Animal	Arthopod		
75	Southern Black Widow	black widow, Latrodectus mactans,	Animal	Arthopod		
76	Tarantula	tarantula,	Animal	Arthopod		
77	Wolf Spider	wolf spider, hunting spider,	Animal	Arthopod		
78	Tick	tick,	Animal	Arthopod		
79	Centipede	centipede,	Animal	Arthopod		
80	Black Grouse	black grouse,	Animal	Bird		
81	Ptarmigan	ptarmigan,	Animal	Bird		
82	Ruffed Grouse	ruffed grouse, partridge, Bonasa umbellus,	Animal	Bird		
83	Prairie Grouse	prairie chicken, prairie grouse, prairie fowl,	Animal	Bird		
84	Peacock	peacock,	Animal	Bird		
85	Quail	quail,	Animal	Bird		
86	Partridge	partridge,	Animal	Bird		
87	Grey Parrot	African grey, African gray, Psittacus erithacus,	Animal	Bird		
88	Macaw	macaw,	Animal	Bird		
89	Sulphur-crested Cockatoo	sulphur-crested cockatoo, Kakatoe galerita, Cacatua galerita,	Animal	Bird		
90	Lorikeet	lorikeet,	Animal	Bird		
91	Coucal	coucal,	Animal	Bird		
92	Bee Eater	bee eater,	Animal	Bird		
93	Hornbill	hornbill,	Animal	Bird		
94	Hummingbird	hummingbird,	Animal	Bird		
95	Jacamar	jacamar,	Animal	Bird		
96	Toucan	toucan,	Animal	Bird		
97	Duck	drake,	Animal	Bird		
98	Red-breasted Merganser	red-breasted merganser, Mergus serrator,	Animal	Bird		
99	Goose	goose,	Animal	Bird		
100	Black Swan	black swan, Cygnus atratus,	Animal	Bird		
101	Tusker	tusker,	Animal	Mammal		
102	Echidna	echidna, spiny anteater, anteater,	Animal	Mammal		
103	Platypus	platypus, duckbill, duckbilled platypus, duck-billed platypus, Ornithorhynchus anatinus,	Animal	Mammal		
104	Wallaby	wallaby, brush kangaroo,	Animal	Mammal		
105	Koala	koala, koala bear, kangaroo bear, native bear, Phascolarctos cinereus,	Animal	Mammal		
106	Wombat	wombat,	Animal	Mammal		
107	Jellyfish	jellyfish,	Animal	Invertebrate		
108	Sea Anemone	sea anemone, anemone,	Animal	Invertebrate		
109	Brain Coral	brain coral,	Animal	Invertebrate		
110	Flatworm	flatworm, platyhelminth,	Animal	Invertebrate		
111	Nematode	nematode, nematode worm, roundworm,	Animal	Invertebrate		
112	Conch	conch,	Animal	Mollusc		
113	Snail	snail,	Animal	Mollusc		
114	Slug	slug,	Animal	Mollusc		
115	Sea Slug	sea slug, nudibranch,	Animal	Mollusc		
116	Chiton	chiton, coat-of-mail shell, sea cradle, polyplacophore,	Animal	Mollusc		
117	Chambered Nautilus	chambered nautilus, pearly nautilus, nautilus,	Animal	Mollusc		
118	Dungeness Crab	Dungeness crab, Cancer magister,	Animal	Crustacean		
119	Rock Crab	rock crab, Cancer irroratus,	Animal	Crustacean		
120	Fiddler Crab	fiddler crab,	Animal	Crustacean		
121	Red King Crab	king crab, Alaska crab, Alaskan king crab, Alaska king crab, Paralithodes camtschatica,	Animal	Crustacean		
122	American Lobster	American lobster, Northern lobster, Maine lobster, Homarus americanus,	Animal	Crustacean		
123	Spiny Lobster	spiny lobster, langouste, rock lobster, crawfish, crayfish, sea crawfish,	Animal	Crustacean		
124	Crayfish	crayfish, crawfish, crawdad, crawdaddy,	Animal	Crustacean		
125	Hermit Crab	hermit crab,	Animal	Crustacean		
126	Isopod	isopod,	Animal	Crustacean		
127	White Stork	white stork, Ciconia ciconia,	Animal	Bird		
128	Black Stork	black stork, Ciconia nigra,	Animal	Bird		
129	Spoonbill	spoonbill,	Animal	Bird		
130	Flamingo	flamingo,	Animal	Bird		
131	Little Blue Heron	little blue heron, Egretta caerulea,	Animal	Bird		
132	Great Egret	American egret, great white heron, Egretta albus,	Animal	Bird		
133	Bittern	bittern,	Animal	Bird		
134	Crane	crane,	Animal	Bird		
135	Limpkin	limpkin, Aramus pictus,	Animal	Bird		
136	Common Gallinule	European gallinule, Porphyrio porphyrio,	Animal	Bird		
137	American Coot	American coot, marsh hen, mud hen, water hen, Fulica americana,	Animal	Bird		
138	Bustard	bustard,	Animal	Bird		
139	Ruddy Turnstone	ruddy turnstone, Arenaria interpres,	Animal	Bird		
140	Dunlin	red-backed sandpiper, dunlin, Erolia alpina,	Animal	Bird		
141	Common Redshank	redshank, Tringa totanus,	Animal	Bird		
142	Dowitcher	dowitcher,	Animal	Bird		
143	Oystercatcher	oystercatcher, oyster catcher,	Animal	Bird		
144	Pelican	pelican,	Animal	Bird		
145	King Penguin	king penguin, Aptenodytes patagonica,	Animal	Bird		
146	Albatross	albatross, mollymawk,	Animal	Bird		
147	Grey Whale	grey whale, gray whale, devilfish, Eschrichtius gibbosus, Eschrichtius robustus,	Animal	Mammal		
148	Killer Whale	killer whale, killer, orca, grampus, sea wolf, Orcinus orca,	Animal	Mammal		
149	Dugong	dugong, Dugong dugon,	Animal	Mammal		
150	Sea Lion	sea lion,	Animal	Mammal		
151	Chihuahua	Chihuahua,	Animal	Mammal		
152	Japanese Chin	Japanese spaniel,	Animal	Mammal		
153	Maltese	Maltese dog, Maltese terrier, Maltese,	Animal	Mammal		
154	Pekingese	Pekinese, Pekingese, Peke,	Animal	Mammal		
155	Shih Tzu	Shih-Tzu,	Animal	Mammal		
156	King Charles Spaniel	Blenheim spaniel,	Animal	Mammal		
157	Papillon	papillon,	Animal	Mammal		
158	Toy Terrier	toy terrier,	Animal	Mammal		
159	Rhodesian Ridgeback	Rhodesian ridgeback,	Animal	Mammal		
160	Afghan Hound	Afghan hound, Afghan,	Animal	Mammal		
161	Basset Hound	basset, basset hound,	Animal	Mammal		
162	Beagle	beagle,	Animal	Mammal		
163	Bloodhound	bloodhound, sleuthhound,	Animal	Mammal		
164	Bluetick Coonhound	bluetick,	Animal	Mammal		
165	Black And Tan Coonhound	black-and-tan coonhound,	Animal	Mammal		
166	Treeing Walker Coonhound	Walker hound, Walker foxhound,	Animal	Mammal		
167	English Foxhound	English foxhound,	Animal	Mammal		
168	Redbone Coonhound	redbone,	Animal	Mammal		
169	Borzoi	borzoi, Russian wolfhound,	Animal	Mammal		
170	Irish Wolfhound	Irish wolfhound,	Animal	Mammal		
171	Italian Greyhound	Italian greyhound,	Animal	Mammal		
172	Whippet	whippet,	Animal	Mammal		
173	Ibizan Hound	Ibizan hound, Ibizan Podenco,	Animal	Mammal		
174	Norwegian Elkhound	Norwegian elkhound, elkhound,	Animal	Mammal		
175	Otterhound	otterhound, otter hound,	Animal	Mammal		
176	Saluki	Saluki, gazelle hound,	Animal	Mammal		
177	Scottish Deerhound	Scottish deerhound, deerhound,	Animal	Mammal		
178	Weimaraner	Weimaraner,	Animal	Mammal		
179	Staffordshire Bull Terrier	Staffordshire bullterrier, Staffordshire bull terrier,	Animal	Mammal		
180	American Staffordshire Terrier	American Staffordshire terrier, Staffordshire terrier, American pit bull terrier, pit bull terrier,	Animal	Mammal		
181	Bedlington Terrier	Bedlington terrier,	Animal	Mammal		
182	Border Terrier	Border terrier,	Animal	Mammal		
183	Kerry Blue Terrier	Kerry blue terrier,	Animal	Mammal		
184	Irish Terrier	Irish terrier,	Animal	Mammal		
185	Norfolk Terrier	Norfolk terrier,	Animal	Mammal		
186	Norwich Terrier	Norwich terrier,	Animal	Mammal		
187	Yorkshire Terrier	Yorkshire terrier,	Animal	Mammal		
188	Wire Fox Terrier	wire-haired fox terrier,	Animal	Mammal		
189	Lakeland Terrier	Lakeland terrier,	Animal	Mammal		
190	Sealyham Terrier	Sealyham terrier, Sealyham,	Animal	Mammal		
191	Airedale Terrier	Airedale, Airedale terrier,	Animal	Mammal		
192	Cairn Terrier	cairn, cairn terrier,	Animal	Mammal		
193	Australian Terrier	Australian terrier,	Animal	Mammal		
194	Dandie Dinmont Terrier	Dandie Dinmont, Dandie Dinmont terrier,	Animal	Mammal		
195	Boston Terrier	Boston bull, Boston terrier,	Animal	Mammal		
196	Miniature Schnauzer	miniature schnauzer,	Animal	Mammal		
197	Giant Schnauzer	giant schnauzer,	Animal	Mammal		
198	Standard Schnauzer	standard schnauzer,	Animal	Mammal		
199	Scottish Terrier	Scotch terrier, Scottish terrier, Scottie,	Animal	Mammal		
200	Tibetan Terrier	Tibetan terrier, chrysanthemum dog,	Animal	Mammal		
201	Australian Silky Terrier	silky terrier, Sydney silky,	Animal	Mammal		
202	Soft-coated Wheaten Terrier	soft-coated wheaten terrier,	Animal	Mammal		
203	West Highland White Terrier	West Highland white terrier,	Animal	Mammal		
204	Lhasa Apso	Lhasa, Lhasa apso,	Animal	Mammal		
205	Flat-Coated Retriever	flat-coated retriever,	Animal	Mammal		
206	Curly-coated Retriever	curly-coated retriever,	Animal	Mammal		
207	Golden Retriever	golden retriever,	Animal	Mammal		
208	Labrador Retriever	Labrador retriever,	Animal	Mammal		
209	Chesapeake Bay Retriever	Chesapeake Bay retriever,	Animal	Mammal		
210	German Shorthaired Pointer	German short-haired pointer,	Animal	Mammal		
211	Vizsla	vizsla, Hungarian pointer,	Animal	Mammal		
212	English Setter	English setter,	Animal	Mammal		
213	Irish Setter	Irish setter, red setter,	Animal	Mammal		
214	Gordon Setter	Gordon setter,	Animal	Mammal		
215	Brittany	Brittany spaniel,	Animal	Mammal		
216	Clumber Spaniel	clumber, clumber spaniel,	Animal	Mammal		
217	English Springer Spaniel	English springer, English springer spaniel,	Animal	Mammal		
218	Welsh Springer Spaniel	Welsh springer spaniel,	Animal	Mammal		
219	Cocker Spaniels	cocker spaniel, English cocker spaniel, cocker,	Animal	Mammal		
220	Sussex Spaniel	Sussex spaniel,	Animal	Mammal		
221	Irish Water Spaniel	Irish water spaniel,	Animal	Mammal		
222	Kuvasz	kuvasz,	Animal	Mammal		
223	Schipperke	schipperke,	Animal	Mammal		
224	Groenendael	groenendael,	Animal	Mammal		
225	Malinois	malinois,	Animal	Mammal		
226	Briard	briard,	Animal	Mammal		
227	Australian Kelpie	kelpie,	Animal	Mammal		
228	Komondor	komondor,	Animal	Mammal		
229	Old English Sheepdog	Old English sheepdog, bobtail,	Animal	Mammal		
230	Shetland Sheepdog	Shetland sheepdog, Shetland sheep dog, Shetland,	Animal	Mammal		
231	Collie	collie,	Animal	Mammal		
232	Border Collie	Border collie,	Animal	Mammal		
233	Bouvier Des Flandres	Bouvier des Flandres, Bouviers des Flandres,	Animal	Mammal		
234	Rottweiler	Rottweiler,	Animal	Mammal		
235	German Shepherd Dog	German shepherd, German shepherd dog, German police dog, alsatian,	Animal	Mammal		
236	Dobermann	Doberman, Doberman pinscher,	Animal	Mammal		
237	Miniature Pinscher	miniature pinscher,	Animal	Mammal		
238	Greater Swiss Mountain Dog	Greater Swiss Mountain dog,	Animal	Mammal		
239	Bernese Mountain Dog	Bernese mountain dog,	Animal	Mammal		
240	Appenzeller Sennenhund	Appenzeller,	Animal	Mammal		
241	Entlebucher Sennenhund	EntleBucher,	Animal	Mammal		
242	Boxer	boxer,	Animal	Mammal		
243	Bullmastiff	bull mastiff,	Animal	Mammal		
244	Tibetan Mastiff	Tibetan mastiff,	Animal	Mammal		
245	French Bulldog	French bulldog,	Animal	Mammal		
246	Great Dane	Great Dane,	Animal	Mammal		
247	St. Bernard	Saint Bernard, St Bernard,	Animal	Mammal		
248	Husky	Eskimo dog, husky,	Animal	Mammal		
249	Alaskan Malamute	malamute, malemute, Alaskan malamute,	Animal	Mammal		
250	Siberian Husky	Siberian husky,	Animal	Mammal		
251	Dalmatian	dalmatian, coach dog, carriage dog,	Animal	Mammal		
252	Affenpinscher	affenpinscher, monkey pinscher, monkey dog,	Animal	Mammal		
253	Basenji	basenji,	Animal	Mammal		
254	Pug	pug, pug-dog,	Animal	Mammal		
255	Leonberger	Leonberg,	Animal	Mammal		
256	Newfoundland	Newfoundland, Newfoundland dog,	Animal	Mammal		
257	Pyrenean Mountain Dog	Great Pyrenees,	Animal	Mammal		
258	Samoyed	Samoyed, Samoyede,	Animal	Mammal		
259	Pomeranian	Pomeranian,	Animal	Mammal		
260	Chow Chow	chow, chow chow,	Animal	Mammal		
261	Keeshond	keeshond,	Animal	Mammal		
262	Griffon Bruxellois	Brabancon griffon,	Animal	Mammal		
263	Pembroke Welsh Corgi	Pembroke, Pembroke Welsh corgi,	Animal	Mammal		
264	Cardigan Welsh Corgi	Cardigan, Cardigan Welsh corgi,	Animal	Mammal		
265	Toy Poodle	toy poodle,	Animal	Mammal		
266	Miniature Poodle	miniature poodle,	Animal	Mammal		
267	Standard Poodle	standard poodle,	Animal	Mammal		
268	Mexican Hairless Dog	Mexican hairless,	Animal	Mammal		
269	Grey Wolf	timber wolf, grey wolf, gray wolf, Canis lupus,	Animal	Mammal		
270	Alaskan Tundra Wolf	white wolf, Arctic wolf, Canis lupus tundrarum,	Animal	Mammal		
271	Red Wolf	red wolf, maned wolf, Canis rufus, Canis niger,	Animal	Mammal		
272	Coyote	coyote, prairie wolf, brush wolf, Canis latrans,	Animal	Mammal		
273	Dingo	dingo, warrigal, warragal, Canis dingo,	Animal	Mammal		
274	Dhole	dhole, Cuon alpinus,	Animal	Mammal		
275	African Wild Dog	African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus,	Animal	Mammal		
276	Hyena	hyena, hyaena,	Animal	Mammal		
277	Red Fox	red fox, Vulpes vulpes,	Animal	Mammal		
278	Kit Fox	kit fox, Vulpes macrotis,	Animal	Mammal		
279	Arctic Fox	Arctic fox, white fox, Alopex lagopus,	Animal	Mammal		
280	Grey Fox	grey fox, gray fox, Urocyon cinereoargenteus,	Animal	Mammal		
281	Tabby Cat	tabby, tabby cat,	Animal	Mammal		
282	Tiger Cat	tiger cat,	Animal	Mammal		
283	Persian Cat	Persian cat,	Animal	Mammal		
284	Siamese Cat	Siamese cat, Siamese,	Animal	Mammal		
285	Egyptian Mau	Egyptian cat,	Animal	Mammal		
286	Cougar	cougar, puma, catamount, mountain lion, painter, panther, Felis concolor,	Animal	Mammal		
287	Lynx	lynx, catamount,	Animal	Mammal		
288	Leopard	leopard, Panthera pardus,	Animal	Mammal		
289	Snow Leopard	snow leopard, ounce, Panthera uncia,	Animal	Mammal		
290	Jaguar	jaguar, panther, Panthera onca, Felis onca,	Animal	Mammal		
291	Lion	lion, king of beasts, Panthera leo,	Animal	Mammal		
292	Tiger	tiger, Panthera tigris,	Animal	Mammal		
293	Cheetah	cheetah, chetah, Acinonyx jubatus,	Animal	Mammal		
294	Brown Bear	brown bear, bruin, Ursus arctos,	Animal	Mammal		
295	American Black Bear	American black bear, black bear, Ursus americanus, Euarctos americanus,	Animal	Mammal		
296	Polar Bear	ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus,	Animal	Mammal		
297	Sloth Bear	sloth bear, Melursus ursinus, Ursus ursinus,	Animal	Mammal		
298	Mongoose	mongoose,	Animal	Mammal		
299	Meerkat	meerkat, mierkat,	Animal	Mammal		
300	Tiger Beetle	tiger beetle,	Animal	Insect		
301	Ladybug	ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle,	Animal	Insect		
302	Ground Beetle	ground beetle, carabid beetle,	Animal	Insect		
303	Longhorn Beetle	long-horned beetle, longicorn, longicorn beetle,	Animal	Insect		
304	Leaf Beetle	leaf beetle, chrysomelid,	Animal	Insect		
305	Dung Beetle	dung beetle,	Animal	Insect		
306	Rhinoceros Beetle	rhinoceros beetle,	Animal	Insect		
307	Weevil	weevil,	Animal	Insect		
308	Fly	fly,	Animal	Insect		
309	Bee	bee,	Animal	Insect		
310	Ant	ant, emmet, pismire,	Animal	Insect		
311	Grasshopper	grasshopper, hopper,	Animal	Insect		
312	Cricket	cricket,	Animal	Insect		
313	Stick Insect	walking stick, walkingstick, stick insect,	Animal	Insect		
314	Cockroach	cockroach, roach,	Animal	Insect		
315	Mantis	mantis, mantid,	Animal	Insect		
316	Cicada	cicada, cicala,	Animal	Insect		
317	Leafhopper	leafhopper,	Animal	Insect		
318	Lacewing	lacewing, lacewing fly,	Animal	Insect		
319	Dragonfly	dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk,	Animal	Insect		
320	Damselfly	damselfly,	Animal	Insect		
321	Red Admiral	admiral,	Animal	Insect		
322	Ringlet	ringlet, ringlet butterfly,	Animal	Insect		
323	Monarch Butterfly	monarch, monarch butterfly, milkweed butterfly, Danaus plexippus,	Animal	Insect		
324	Small White	cabbage butterfly,	Animal	Insect		
325	Sulphur Butterfly	sulphur butterfly, sulfur butterfly,	Animal	Insect		
326	Gossamer-winged Butterfly	lycaenid, lycaenid butterfly,	Animal	Insect		
327	Starfish	starfish, sea star,	Animal	Starfish and Sea Urchins		
328	Sea Urchin	sea urchin,	Animal	Starfish and Sea Urchins		
329	Sea Cucumber	sea cucumber, holothurian,	Animal	Starfish and Sea Urchins		
330	Cottontail Rabbit	wood rabbit, cottontail, cottontail rabbit,	Animal	Mammal		
331	Hare	hare,	Animal	Mammal		
332	Angora Rabbit	Angora, Angora rabbit,	Animal	Mammal		
333	Hamster	hamster,	Animal	Mammal		
334	Porcupine	porcupine, hedgehog,	Animal	Mammal		
335	Fox Squirrel	fox squirrel, eastern fox squirrel, Sciurus niger,	Animal	Mammal		
336	Marmot	marmot,	Animal	Mammal		
337	Beaver	beaver,	Animal	Mammal		
338	Guinea Pig	guinea pig, Cavia cobaya,	Animal	Mammal		
339	Common Sorrel	sorrel,	Animal	Mammal		
340	Zebra	zebra,	Animal	Mammal		
341	Pig	hog, pig, grunter, squealer, Sus scrofa,	Animal	Mammal		
342	Wild Boar	wild boar, boar, Sus scrofa,	Animal	Mammal		
343	Warthog	warthog,	Animal	Mammal		
344	Hippopotamus	hippopotamus, hippo, river horse, Hippopotamus amphibius,	Animal	Mammal		
345	Ox	ox,	Animal	Mammal		
346	Water Buffalo	water buffalo, water ox, Asiatic buffalo, Bubalus bubalis,	Animal	Mammal		
347	Bison	bison,	Animal	Mammal		
348	Ram	ram, tup,	Animal	Mammal		
349	Bighorn Sheep	bighorn, bighorn sheep, cimarron, Rocky Mountain bighorn, Rocky Mountain sheep, Ovis canadensis,	Animal	Mammal		
350	Alpine Ibex	ibex, Capra ibex,	Animal	Mammal		
351	Hartebeest	hartebeest,	Animal	Mammal		
352	Impala	impala, Aepyceros melampus,	Animal	Mammal		
353	Gazelle	gazelle,	Animal	Mammal		
354	Dromedary	Arabian camel, dromedary, Camelus dromedarius,	Animal	Mammal		
355	Llama	llama,	Animal	Mammal		
356	Weasel	weasel,	Animal	Mammal		
357	Mink	mink,	Animal	Mammal		
358	European Polecat	polecat, fitch, foulmart, foumart, Mustela putorius,	Animal	Mammal		
359	Black-footed Ferret	black-footed ferret, ferret, Mustela nigripes,	Animal	Mammal		
360	Otter	otter,	Animal	Mammal		
361	Skunk	skunk, polecat, wood pussy,	Animal	Mammal		
362	Badger	badger,	Animal	Mammal		
363	Armadillo	armadillo,	Animal	Mammal		
364	Three-toed Sloth	three-toed sloth, ai, Bradypus tridactylus,	Animal	Mammal		
365	Orangutan	orangutan, orang, orangutang, Pongo pygmaeus,	Animal	Mammal		
366	Gorilla	gorilla, Gorilla gorilla,	Animal	Mammal		
367	Chimpanzee	chimpanzee, chimp, Pan troglodytes,	Animal	Mammal		
368	Gibbon	gibbon, Hylobates lar,	Animal	Mammal		
369	Siamang	siamang, Hylobates syndactylus, Symphalangus syndactylus,	Animal	Mammal		
370	Guenon	guenon, guenon monkey,	Animal	Mammal		
371	Patas Monkey	patas, hussar monkey, Erythrocebus patas,	Animal	Mammal		
372	Baboon	baboon,	Animal	Mammal		
373	Macaque	macaque,	Animal	Mammal		
374	Langur	langur,	Animal	Mammal		
375	Black-and-white Colobus	colobus, colobus monkey,	Animal	Mammal		
376	Proboscis Monkey	proboscis monkey, Nasalis larvatus,	Animal	Mammal		
377	Marmoset	marmoset,	Animal	Mammal		
378	White-headed Capuchin	capuchin, ringtail, Cebus capucinus,	Animal	Mammal		
379	Howler Monkey	howler monkey, howler,	Animal	Mammal		
380	Titi	titi, titi monkey,	Animal	Mammal		
381	Geoffroy's Spider Monkey	spider monkey, Ateles geoffroyi,	Animal	Mammal		
382	Common Squirrel Monkey	squirrel monkey, Saimiri sciureus,	Animal	Mammal		
383	Ring-tailed Lemur	Madagascar cat, ring-tailed lemur, Lemur catta,	Animal	Mammal		
384	Indri	indri, indris, Indri indri, Indri brevicaudatus,	Animal	Mammal		
385	Asian Elephant	Indian elephant, Elephas maximus,	Animal	Mammal		
386	African Bush Elephant	African elephant, Loxodonta africana,	Animal	Mammal		
387	Red Panda	lesser panda, red panda, panda, bear cat, cat bear, Ailurus fulgens,	Animal	Mammal		
388	Giant Panda	giant panda, panda, panda bear, coon bear, Ailuropoda melanoleuca,	Animal	Mammal		
389	Snoek	barracouta, snoek,	Animal	Fish		
390	Eel	eel,	Animal	Fish		
391	Coho Salmon	coho, cohoe, coho salmon, blue jack, silver salmon, Oncorhynchus kisutch,	Animal	Fish		
392	Rock Beauty	rock beauty, Holocanthus tricolor,	Animal	Fish		
393	Clownfish	anemone fish,	Animal	Fish		
394	Sturgeon	sturgeon,	Animal	Fish		
395	Garfish	gar, garfish, garpike, billfish, Lepisosteus osseus,	Animal	Fish		
396	Lionfish	lionfish,	Animal	Fish		
397	Pufferfish	puffer, pufferfish, blowfish, globefish,	Animal	Fish		
398	Abacus	abacus,	Item	Stationery		
399	Abaya	abaya,	Item	Clothing and Accessories	Accessory	Headwear
400	Academic Gown	academic gown, academic robe, judge's robe,	Item	Clothing and Accessories	Accessory	Outerwear
401	Accordion	accordion, piano accordion, squeeze box,	Item	Music	Keyboard	
402	Acoustic Guitar	acoustic guitar,	Item	Music	String	
403	Aircraft Carrier	aircraft carrier, carrier, flattop, attack aircraft carrier,	Item	Vehicle	Watercraft	
404	Airliner	airliner,	Item	Vehicle	Aircraft	
405	Airship	airship, dirigible,	Item	Vehicle	Aircraft	
406	Altar	altar,	Item	Architecture		
407	Ambulance	ambulance,	Item	Vehicle	Landcraft	
408	Amphibious Vehicle	amphibian, amphibious vehicle,	Item	Vehicle	Amphibious	
409	Analog Clock	analog clock,	Item	Home and Garden	Miscellaneous	
410	Apiary	apiary, bee house,	Item	Architecture		
411	Apron	apron,	Item	Clothing and Accessories	Accessory	Outerwear
412	Waste Container	ashcan, trash can, garbage can, wastebin, ash bin, ash-bin, ashbin, dustbin, trash barrel, trash bin,	Item	Home and Garden	Miscellaneous	
413	Assault Rifle	assault rifle, assault gun,	Item	Sports		
414	Backpack	backpack, back pack, knapsack, packsack, rucksack, haversack,	Item	Clothing and Accessories	Accessory	Bag
415	Bakery	bakery, bakeshop, bakehouse,	Item	Architecture		
416	Balance Beam	balance beam, beam,	Item	Sports		
417	Balloon	balloon,	Item	Vehicle	Aircraft	
